| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| JAVA开发工程师 | 深圳 | 35-45K | 5-10年本科 | 某大型互联网金融上市公司 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/6b20912f7b5afc831Hx_2dy8F1VR.html |
| 高级java-大厂 | 深圳·南山区·科技园 | 12-21K | 5-10年本科 | 软通动力 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/715cf87265025d3f1HBy09S9EldV.html |
| java开发工程师 | 深圳·龙华区·龙华 | 20-30K | 5-10年本科 | 众投互联 | 互联网A轮500-999人 | https://www.zhipin.com/job_detail/d1316d8e8191fea91HJ53dm9GFtZ.html |
| 高级java开发工程师 | 深圳·罗湖区·国贸 | 25-45K | 5-10年大专 | 深圳涵霖网络科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/eace0503e314d8831XB73N-5E1tX.html |
| java开发工程师 | 深圳·坪山区·坪山 | 30-60K | 5-10年本科 | 比亚迪汽车工业 | 汽车研发/制造已上市10000人以上 | https://www.zhipin.com/job_detail/2eaeb141817865f11Hx_3t68F1JW.html |
| 高级 Java 工程师 | 深圳·南山区·科技园 | 25-40K | 5-10年本科 | 北京哆软咪科技 | 电子商务20-99人 | https://www.zhipin.com/job_detail/1624db409fee0ac81Hx52dm-FlBY.html |
| 高级java开发 | 深圳 | 30-45K·13薪 | 5-10年本科 | 某大型计算机软件公司 | 计算机软件500-999人 | https://www.zhipin.com/job_detail/605d95d2ab1a03b11Hx42Ny0F1FY.html |
| 软件开发（JAVA)--华为OD | 深圳·龙岗区·坂田 | 20-35K·15薪 | 5-10年本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/c44bf910821b33f81Hx_09i8FlZU.html |
| java开发工程师 | 深圳·龙岗区·坂田 | 20-40K·14薪 | 5-10年本科 | 泊松软件 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/c659501d036cc4841Hx43927GFZT.html |
| java技术主管 | 深圳·南山区·科技园 | 20-30K | 5-10年本科 | 星浅 | 互联网不需要融资0-20人 | https://www.zhipin.com/job_detail/59883e80ee68e8b31Hx53dm9FldR.html |
| JAVA开发 | 深圳·南山区·科技园 | 18-27K | 5-10年大专 | 得逸信息 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/dfb2b61ba26f1e0d1HR4396_ElZQ.html |
| Java工程师（大厂） | 深圳·宝安区·西乡 | 20-28K | 5-10年本科 | 德科信息 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/5732e5f930042fe91Hx-29u9EFtU.html |
| JAVA 开发工程师-（外包、电商经验） | 深圳·福田区·车公庙 | 19-23K | 5-10年大专 | 信必优Symbio | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/66b02b45035b0ee81Hx809W-GFVR.html |
| 创兴高级java | 深圳·南山区·深圳湾 | 18-21K | 5-10年本科 | 易诚互动 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/0404107db763610f1Hx629m1EFBQ.html |
| Java开发工程师 | 深圳·福田区·新洲 | 17-21K | 5-10年本科 | 信雅达科技股份 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/7639b6d0187a962d1XN_09q4F1tQ.html |
| java开发 | 深圳·南山区·科技园 | 14-25K | 5-10年本科 | 东方大唐 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/bf00f081e77db8ea1HFz3dy_ElBW.html |
| 高级JAVA工程师 | 深圳·龙华区·观澜 | 16-30K | 5-10年本科 | 高力合 | 智能硬件未融资0-20人 | https://www.zhipin.com/job_detail/eb17c16241cda5af1HF53dW0EltQ.html |
| Java开发（物流系统） | 深圳·龙华区·民治 | 20-30K | 5-10年本科 | 艾麦物流 | 物流/仓储B轮1000-9999人 | https://www.zhipin.com/job_detail/e804de1e2fd256c81Hx60tm1GFVZ.html |
| 资深java工程师 | 深圳 | 25-40K·14薪 | 5-10年本科 | 某大型电子商务上市公司 | 电子商务已上市1000-9999人 | https://www.zhipin.com/job_detail/73f33b0a115c25f21Hx539m-EFZQ.html |
| 资深Java软件工程师（后端） | 深圳·福田区·莲花 | 18-30K·13薪 | 5-10年本科 | 恒安诺科技 | 计算机软件500-999人 | https://www.zhipin.com/job_detail/495dc4d83479ac5b1HF_2tu_EFs~.html |
| Java开发工程师 | 深圳·南山区·科技园 | 16-21K | 5-10年本科 | 联龙博通 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/13b19fbaa2cfce591HNy3920FFVY.html |
| java高级架构师 | 深圳·南山区·科技园 | 22-30K | 5-10年大专 | 深圳市星岛科技有限公司 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/52259a6ed46bb7e51XF_29m1EFVY.html |
| java | 深圳 | 35-65K·16薪 | 5-10年本科 | 某大型大数据公司 | 大数据C轮500-999人 | https://www.zhipin.com/job_detail/517fc5ef69fe9b9b1Hx-09u0EFRV.html |
| 高级java开发 | 深圳·宝安区·西乡 | 22-28K | 5-10年本科 | 武汉佰钧成技术 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/b74606e23a1c2bd41Hx92tS4EVJW.html |
| 资深java开发工程师 | 深圳·福田区·石厦 | 30-60K·16薪 | 5-10年本科 | 景佑宝元 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/acadd8dc4d2be88f1HJ63Nm7GFVU.html |
| 高级JAVA经理（央企，稳定） | 深圳·南山区·科技园 | 22-25K·13薪 | 5-10年本科 | 中海科技 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/0c0a3201deb5ffc31HN_2NS-ElRT.html |
| java高级开发工程师 | 深圳 | 35-50K | 5-10年本科 | 某大型知名生活服务(O2O)上市公司 | 生活服务(O2O)已上市10000人以上 | https://www.zhipin.com/job_detail/1dfffda4a482fd1b1HJ70tS8FltW.html |
| JAVA开发工程师-平安陆控 | 深圳 | 20-28K·16薪 | 5-10年本科 | 某大型保险上市公司 | 保险已上市10000人以上 | https://www.zhipin.com/job_detail/00b54bcf56c6674c1Hx_2d-4GFpZ.html |
| 资深游戏java | 深圳·南山区·蛇口 | 20-40K·13薪 | 5-10年本科 | 柚乐网络科技 | 游戏不需要融资100-499人 | https://www.zhipin.com/job_detail/9087f5dcecb7b1501Hx82t25FFVR.html |
| java开发工程师 | 深圳·福田区·车公庙 | 15-30K | 5-10年本科 | 奇点浩翰 | 大数据未融资100-499人 | https://www.zhipin.com/job_detail/0995d4e6e86e65661HNz2925FldR.html |
| 技术主管（APP/Java技术方向） | 深圳·南山区·科技园 | 20-25K·14薪 | 5-10年本科 | 海创半导体科技 | 半导体/芯片未融资100-499人 | https://www.zhipin.com/job_detail/63a2cc8cccde6ab31Hx82tW6FVdS.html |
| java开发主管 | 深圳·龙华区·龙华 | 15-30K | 5-10年大专 | 锦弘霖 | 电子/硬件开发未融资100-499人 | https://www.zhipin.com/job_detail/8570a72734f2d1331HJ72NS9GVJU.html |
| 外企招聘-高级Java开发 | 深圳 | 30-40K·15薪 | 5-10年本科 | 某大型知名互联网公司 | 互联网不需要融资10000人以上 | https://www.zhipin.com/job_detail/92b2c8cb450750c81Hx929-4FVNZ.html |
| 后端开发组长-Java | 深圳 | 35-55K | 5-10年本科 | 某中型互联网软件服务公司 | 计算机服务500-999人 | https://www.zhipin.com/job_detail/a5423e44e470ed071Hx509q9EFVR.html |
| 高级架构师java | 深圳 | 35-65K·13薪 | 5-10年本科 | 某大型医疗健康公司 | 医疗健康未融资100-499人 | https://www.zhipin.com/job_detail/ee27a47cddc6a9de1HN639u1EFtT.html |
| Java开发（外派联想） | 深圳·光明区·光明 | 15-21K | 5-10年大专 | 北京福瑞兰斯 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/95e1b79268fac3361Hx629q5FVBU.html |
| Java | 深圳 | 35-50K·14薪 | 5-10年本科 | 某大型知名互联网上市公司 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/fb5ba445cf9dfb801HN70965FlNW.html |
| 高级java开发(证券交易所） | 深圳·罗湖区·东门 | 19-21K | 5-10年大专 | 睿服科技 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/d3fbd29d7c73201f1Hx92Ni-EVtW.html |
| JAVA开发工程师 | 深圳 | 16-29K·16薪 | 5-10年本科 | 某大型互联网金融上市公司 | 互联网金融已上市1000-9999人 | https://www.zhipin.com/job_detail/e9fe0b378fd4a1931HNy2dm-GVdU.html |
| 深圳java（电商方向） | 深圳·坪山区·坪山 | 20-22K | 5-10年本科 | 上海瑞应人才科技 | 计算机软件500-999人 | https://www.zhipin.com/job_detail/b5d63132fa5055dc1Hx82dW4ElZQ.html |
| java开发 | 深圳·龙华区·民治 | 18-25K | 5-10年本科 | 顺友物流 | 物流/仓储A轮100-499人 | https://www.zhipin.com/job_detail/d5215eadfe02e4a21HNz2967GFZZ.html |
| 高级java开发工程师 | 深圳·福田区·上步 | 18-23K | 5-10年本科 | 1BOM | 半导体/芯片未融资20-99人 | https://www.zhipin.com/job_detail/76fc06b206d998781Hx83NW1E1ZR.html |
| 中/高级java工程师 | 深圳 | 25-40K | 5-10年本科 | 某中型融资担保公司 | 租赁/拍卖/典当/担保未融资100-499人 | https://www.zhipin.com/job_detail/92662fbd1a1337721HNz29S_GFFV.html |
| 高级java设计师 | 深圳·福田区·车公庙 | 20-30K·13薪 | 5-10年本科 | Kmerit | 计算机软件D轮及以上500-999人 | https://www.zhipin.com/job_detail/f27b2b0f10b6c2c41HN-09-8ElpQ.html |
| 中高级java工程师 | 深圳·福田区·岗厦 | 15-30K | 5-10年本科 | 兆联信息 | 互联网20-99人 | https://www.zhipin.com/job_detail/c4ea7fc7534b6ea61HB_09W5GVVR.html |
| Senior Java Developer高级开发工程师 | 深圳·南山区·科技园 | 27-35K·13薪 | 5-10年本科 | EPAM 亿磐 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/32eb7a8670b4f8170XFz2tS5ElY~.html |
| java开发工程师 | 深圳·南山区·科技园 | 18-25K | 5-10年本科 | 三代人科技 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/cafda6611a23534f1Hd72dq1EFJQ.html |
| Java开发工程师 | 深圳·南山区·科技园 | 20-30K·13薪 | 5-10年本科 | 道新科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/e384b238e37737f51HF739m_F1JW.html |
| 高级Java开发工程师 | 深圳 | 30-45K | 5-10年本科 | 某中型计算机软件公司 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/b1cb2609bf46be5f1Hx739m_FlJQ.html |
| JAVA开发工程师 | 深圳·南山区·科技园 | 16-30K | 5-10年本科 | 高阳科技 | 计算机软件已上市500-999人 | https://www.zhipin.com/job_detail/00ed27502945ef7f1HF42d68GVFX.html |
| java | 深圳·南山区·科技园 | 30-35K | 5-10年本科 | 哲赛信息 | 企业服务未融资20-99人 | https://www.zhipin.com/job_detail/0f64202a95052c881HJ80ti7E1JT.html |
| java开发 | 深圳 | 25-40K | 5-10年本科 | 某中型计算机软件公司 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/6695ff5d156f7c7b1Hx73ty1EFRR.html |
| 高级java | 深圳 | 25-40K | 5-10年本科 | 深圳某中型金融服务公司 | 租赁/拍卖/典当/担保100-499人 | https://www.zhipin.com/job_detail/baa95869724285961Hx-0tS9E1RX.html |
| Java开发工程+上市公司+大型项目 | 深圳·南山区·科技园 | 18-23K | 5-10年本科 | 四方精创 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/92ee18bdf61f1d4b1Hx63tS4F1VX.html |
| 高级java开发 | 深圳·南山区·科技园 | 20-30K | 5-10年本科 | 穗彩科技 | 计算机软件已上市500-999人 | https://www.zhipin.com/job_detail/d38d3c958634dea91X182d-9EFBV.html |
| 中高级JAVA工程师 | 深圳·龙岗区·坂田 | 15-25K | 5-10年大专 | 美狮物流集团 | 跨境物流A轮500-999人 | https://www.zhipin.com/job_detail/3faa3385e5a4bcfd1HN72N-8E1JU.html |
| Java技术经理 | 深圳·宝安区·新安 | 18-26K | 5-10年本科 | 百仁吉 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/b30d883ebfa654d01nRy09S0GFFT.html |
| 高级java | 深圳 | 25-40K | 5-10年本科 | 某中型融资担保公司 | 租赁/拍卖/典当/担保未融资100-499人 | https://www.zhipin.com/job_detail/ae5f3d8a031c55f01Hx63tq9GVZQ.html |
| 高级JAVA开发工程师 | 深圳·南山区·科技园 | 18-30K | 5-10年本科 | 金蝶账无忧 | 移动互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/cb05e073b98b97201HB42dy0GVRR.html |
| 高级java架构师 | 深圳 | 35-50K | 5-10年本科 | 某大型医疗健康公司 | 医疗健康C轮100-499人 | https://www.zhipin.com/job_detail/1d89838539af8e6b1HF83du7GFVU.html |
| 高级java开发工程师 | 深圳·南山区·科技园 | 20-35K | 5-10年本科 | 港融科技 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/ea50f69779890e7c1HF809W0EVFV.html |
| 高级Java开发工程师 | 深圳·南山区·科技园 | 20-40K·14薪 | 5-10年本科 | 深圳鲸致管理咨询 | 投资/融资100-499人 | https://www.zhipin.com/job_detail/31e591074b1950021HB93960FVZZ.html |
| java开发工程师 | 深圳·福田区·会展中心 | 20-25K | 5-10年本科 | 宏进农副产品 | 房地产开发经营1000-9999人 | https://www.zhipin.com/job_detail/a372d49218b917e51HV82tW_GFNQ.html |
| 高级Java工程师 | 深圳·南山区·前海 | 25-40K | 5-10年本科 | 三立人科技 | 互联网A轮1000-9999人 | https://www.zhipin.com/job_detail/0d3612e2103514171Hx62dm1GVZW.html |
| 资深java工程师 | 深圳·南山区·西丽 | 20-40K·16薪 | 5-10年本科 | Anker | 电子商务已上市1000-9999人 | https://www.zhipin.com/job_detail/a43bd782ec3d830a1HV92dy8GVJW.html |
| 资深java开发工程师 | 深圳·南山区·科技园 | 25-50K·13薪 | 5-10年大专 | 北京欢与科技有限公司 | 互联网100-499人 | https://www.zhipin.com/job_detail/f9b5da1728fe80101HJ-0t-7F1RS.html |
| 资深Java服务端开发 | 深圳·南山区·科技园 | 25-35K·13薪 | 5-10年本科 | 尚游游戏 | 游戏不需要融资100-499人 | https://www.zhipin.com/job_detail/4a079937e60c0b2f1Hx509u8EFVR.html |
| 高级java开发工程师 | 深圳·南山区·科技园 | 18-23K·14薪 | 5-10年本科 | 镜玩科技有限公司 | 社交网络与媒体不需要融资20-99人 | https://www.zhipin.com/job_detail/7afd9f4030fc817d1Hx_3dW5E1BW.html |
| Java开发工程师 | 深圳 | 15-25K | 5-10年本科 | 裹小递 | 生活服务(O2O)未融资10000人以上 | https://www.zhipin.com/job_detail/f89e07af1135b7561Hx42dW1EFVR.html |
| Java开发工程师 | 深圳 | 30-35K | 5-10年本科 | 某大型计算机软件上市公司 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/da512e6ee7ade5e21Hx53du5F1BZ.html |
| Java开发（J10748） | 深圳·宝安区·西乡 | 26-35K | 5-10年本科 | 万邑通 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/7d1efbd7d5c041621Hx62Ni0E1ZT.html |
| java开发工程师 | 深圳 | 15-25K·17薪 | 5-10年本科 | 某大型互联网金融上市公司 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/9d402d084df865301HNy2di7FFRX.html |
| 高级java开发工程师 | 深圳·南山区·南油 | 17-25K·15薪 | 5-10年本科 | 优加互联 | 互联网A轮20-99人 | https://www.zhipin.com/job_detail/3e27633c0679949a1XF439i6EFBQ.html |
| 高级Java工程师 | 深圳 | 25-40K | 5-10年本科 | 深圳某中型金融服务公司 | 租赁/拍卖/典当/担保100-499人 | https://www.zhipin.com/job_detail/9276b65abb7cfef91Hx-09i1FlZR.html |
| 高级Java开发工程师 | 深圳·福田区·香蜜湖 | 25-40K·13薪 | 5-10年本科 | 沃尔玛(中国) | 生活服务(O2O)未融资10000人以上 | https://www.zhipin.com/job_detail/4a729235ec88e7171HN52d69FFtS.html |
| 高级Java | 深圳·罗湖区·东门 | 20-30K·13薪 | 5-10年本科 | 金千枝软件技术 | 大数据不需要融资100-499人 | https://www.zhipin.com/job_detail/589926842ed5c1131Hx_3t2_EVtY.html |
| 中/高级java工程师 | 深圳·宝安区·西乡 | 17-21K | 5-10年大专 | 智奥会展 | 广告/公关/会展不需要融资100-499人 | https://www.zhipin.com/job_detail/30efe208f55fb6a81HN82t69EFRY.html |
| java开发高级工程师 | 深圳·福田区·香蜜湖 | 15-22K | 5-10年本科 | 博彦科技 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/08311da49a153fe61HN73d-6E1RU.html |
| 中级java开发工程师 | 深圳·龙华区·民治 | 15-23K | 5-10年本科 | 广州南天 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/8758cf84149180aa1Hx-29q0FFNT.html |
| 高级Java工程师 | 深圳 | 25-40K | 5-10年本科 | 深圳某中型金融服务公司 | 租赁/拍卖/典当/担保100-499人 | https://www.zhipin.com/job_detail/f4fdac2d7847a8531Hx-2ty0GVJW.html |
| Java开发工程师 | 深圳·南山区·科技园 | 18-21K | 5-10年本科 | 金赋科技 | 智能硬件不需要融资100-499人 | https://www.zhipin.com/job_detail/121dd95822e0d24e1HN83Nq_FVdX.html |
| Java开发工程师 | 深圳·南山区·科技园 | 15-25K | 5-10年本科 | 远方好物 | 电子商务未融资100-499人 | https://www.zhipin.com/job_detail/f62580dacfa1d6181Hx529S5ElBX.html |
| 高级java开发工程师 | 深圳·宝安区·西乡 | 18-26K | 5-10年本科 | 持合科技 | 大数据20-99人 | https://www.zhipin.com/job_detail/a04de50ce18368e41X1-3920F1tV.html |
| 高级Java工程师（信贷行业经验） | 深圳·南山区·科技园 | 30-35K | 5-10年本科 | 移联科技（深圳） | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/0a356c86e4fafbc41HN83Ny4FFpV.html |
| java开发 | 深圳 | 25-35K | 5-10年本科 | 某500强上市公司 | 银行已上市1000-9999人 | https://www.zhipin.com/job_detail/779147833759184c1Hd439y8E1tV.html |
| 高级/资深java开发工程师 | 深圳·福田区·华强南 | 40-70K | 5-10年本科 | 成都英悦芯瑞网络科技 | 互联网金融1000-9999人 | https://www.zhipin.com/job_detail/cf5516a882c18f461HV-29u7EFVR.html |
| JAVA 工程师 | 深圳·南山区·科技园 | 15-30K·14薪 | 5-10年本科 | 航路信息 | 旅游C轮100-499人 | https://www.zhipin.com/job_detail/1acbe0ef67e820a71HB62ty0GFc~.html |
| Java 开发工程师 | 深圳·南山区·科技园 | 25-30K·14薪 | 5-10年本科 | 有赞 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/2e62a7220461137a1HV60t29FVdT.html |
| 储能java工程师 | 深圳 | 20-35K | 5-10年本科 | 深圳某中型储能公司 | 储能A轮100-499人 | https://www.zhipin.com/job_detail/24e93fc5b651d0451Hx_3Ny8E1BU.html |
| Java开发工程师 | 深圳·龙岗区·横岗 | 18-25K | 5-10年本科 | 爱智慧科技 | 互联网天使轮20-99人 | https://www.zhipin.com/job_detail/5361a0d100d9759c1HJ63Ny6GVdV.html |
| 高级 java | 深圳 | 35-55K | 5-10年本科 | 某计算机软件公司 | 计算机软件天使轮20-99人 | https://www.zhipin.com/job_detail/03e516b8f4632b121HJ_3du1F1BR.html |
| 技术经理（Java） | 深圳·南山区·科技园 | 20-35K | 5-10年本科 | 移卡科技 | 互联网已上市500-999人 | https://www.zhipin.com/job_detail/b11170201e4ec2bc1Hx629i_FlJZ.html |
| Java web开发工程师 | 深圳·宝安区·福永 | 20-30K·13薪 | 5-10年本科 | 盘古德豪 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/5a7acf24cbf8feeb1HF_2920GFtZ.html |
| Java高级开发工程师 | 深圳·南山区·科技园 | 30-40K·14薪 | 5-10年本科 | 深圳德奥 | 智能硬件未融资100-499人 | https://www.zhipin.com/job_detail/63e4c254320295b51nJ809i7FVZU.html |
| java高级软件工程师 | 深圳·南山区·科技园 | 16-22K·13薪 | 5-10年本科 | 敏思达 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/c18bb06d794445751HV80t-8FFBW.html |
| Java开发工程师(双休) | 深圳·龙岗区·坂田 | 20-30K·14薪 | 5-10年本科 | 深圳市天一泓投资... | 通信/网络设备未融资500-999人 | https://www.zhipin.com/job_detail/99e72ee29687af341Hx63Ny0GVBR.html |
| 高级 Java 工程师（金融行业从业经验） | 深圳 | 25-40K | 5-10年本科 | 某中型租赁/拍卖/典当/担保公司 | 租赁/拍卖/典当/担保未融资100-499人 | https://www.zhipin.com/job_detail/f779fde42519c7a61Hx53Nu5GFpQ.html |
| Java | 深圳 | 20-35K | 5-10年本科 | 某大型移动互联网公司 | 移动互联网1000-9999人 | https://www.zhipin.com/job_detail/f6444b97e21edf071Hx-2dq-FlFZ.html |
| 高级java开发 | 深圳 | 25-35K | 5-10年本科 | 汉王友基 | 电子/半导体/集成电路未融资500-999人 | https://www.zhipin.com/job_detail/bf1d31030ecd9f821HBz3t26FlVS.html |
| 腾讯云Java后台开发 | 深圳·南山区·科技园 | 35-60K·16薪 | 5-10年本科 | 腾讯 | 互联网不需要融资10000人以上 | https://www.zhipin.com/job_detail/e6a7d00235ca56ee1nN-2N-1F1pT.html |
